date,mean_precipitation,temperature_2m_max,temperature_2m_min,surface_net_solar_radiation_sum,temperature_2m_mean,cumulative_precipitation
2023-06-02,0.05122845976757162,31.116921997070335,20.025079345703148,21619170.0,298.7210006713867,0.0
2023-06-03,0.000852346317969932,31.945046997070335,19.748071289062523,22145168.0,298.9965591430664,0.0
2023-06-04,0.007152557316203456,32.25264892578127,19.118508911132835,20726902.0,298.83557891845703,0.0
2023-06-05,1.429009437458717,31.539895629882835,20.752954101562523,20733226.0,299.29642486572266,0.0
2023-06-06,0.013213894295205364,31.22901306152346,19.623071289062523,22733242.0,298.57604217529297,0.0
2023-06-07,0.001716613667213096,32.19684753417971,18.129922485351585,24093832.0,298.3133850097656,0.0
2023-06-08,0.0961452721526257,30.13349304199221,20.973321533203148,19539654.0,298.70340728759766,0.0
2023-06-09,0.14958977692458575,29.206475830078148,20.736535644531273,19893844.0,298.1215057373047,0.0
2023-06-10,0.20050665125381784,29.628991699218773,19.81549987792971,16920002.0,297.8722457885742,0.0
2023-06-11,10.996624827384949,31.016534423828148,22.054620361328148,17567950.0,299.6855773925781,0.0
2023-06-12,2.3498773574779364,25.780999755859398,20.189324951171898,16175360.0,296.1351623535156,0.0
2023-06-13,0.04870900134434919,28.434671020507835,17.370599365234398,20829158.0,296.0526351928711,0.0
2023-06-14,5.489758381941101,27.904901123046898,20.687005615234398,12952108.0,297.4459533691406,0.0
2023-06-15,14.99554905825562,29.451333618164085,19.58197937011721,15537980.0,297.6666564941406,0.0
2023-06-16,0.20703228915408545,32.22310791015627,21.188760375976585,16647072.0,299.8559341430664,0.0
2023-06-17,0.17786564330890542,31.168389892578148,21.20368347167971,22006622.0,299.3360366821289,0.0
2023-06-18,7.395386695861816,30.466455078125023,22.664544677734398,12819376.0,299.7154998779297,0.0
2023-06-19,8.386552333831787,29.157525634765648,19.586953735351585,19574606.0,297.5222396850586,0.0
2023-06-20,0.001742466679388599,30.110620117187523,20.728631591796898,21547890.0,298.5696258544922,0.0
